Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
82;1979 Imperial Valley ML=6.6;Radio Tower B2;No;B;9.8;6.6;8.2;2.5;0.5;6.6;0.3;100;3;120;3;852.7664042;67.40665852;750.5352231;38.95092313;0.876546336;0.99;0.02;0.18;0.03;6.53;0.32;0.13;0.02;0.09;0.03;0.10;0.05;18.00;2.00;NA;1;Short Rod;0.77;99.00;1;0.68;1.13;1;11.25;1.36;1.679170778;1.47;16.6;2.0;Bennett et al.(1984);*;;1.42;1.38;0.07;18.7;;;;;;;
84;1980 Mid-Chiba M=6.1;Owi-1;No;A;23.0;13.1;18.0;5.5;1.6;3.3;0.3;120;3;120;3;2165.354331;202.0115724;1244.094488;106.4756034;0.960451115;0.80736731;0.08;0.08;0.00;6.10;0.52;0.07;0.01;0.04;0.01;0.12;0.03;30.00;16.52;NA;1;Short Rod;0.94;200.00;1.15;0.66;1.09;4;5.80;2.28;1.304228614;1.53;8.9;3.5;Ishihara et. al. (1981);490;;1.20;1.62;0.04;12.0;;;;;;;
85;1980 Mid-Chiba M=6.1;Owi-2;No;B;52.5;42.7;47.6;14.5;1.6;3.3;0.3;120;3;120;3;5708.661417;237.7024542;2944.88189;164.4105699;0.930186183;0.491374367;0.15;0.08;0.00;6.10;0.52;0.05;0.02;0.03;0.01;0.17;0.05;27.00;2.00;NA;1;No Short Rod;1.00;200.00;1.15;0.66;1.09;4;3.50;0.56;0.847708361;1.06;3.7;0.6;Ishihara et. al. (1981);490;;0.89;1.62;0.03;6.3;;;;;;;
88;1981 Westmorland ML=5.6;Radio Tower B2;No;B;9.8;6.6;8.2;2.5;0.5;6.6;0.3;100;3;120;3;852.7664042;67.40665852;750.5352231;38.95092313;0.876546336;0.98;0.01;0.16;0.02;5.90;0.61;0.12;0.02;0.06;0.02;0.10;0.05;18.00;2.00;NA;1;Short Rod;0.77;99.00;1;0.68;1.13;1;11.25;1.36;1.679170778;1.47;16.6;2.0;Bennett et al.(1984);*;;1.42;1.75;0.05;18.7;;;;;;;
89;1981 Westmorland ML=5.6;River Park A;No;B;5.9;1.0;3.5;1.1;0.8;1.0;0.3;100;3;110;3;369.8031496;90.33458577;216.7511811;42.71767891;0.911135468;0.99;0.00;0.17;0.03;5.90;0.61;0.19;0.03;0.10;0.04;0.01;0.05;91.00;2.00;SS;1;Short Rod;0.66;99.00;1;0.68;1.13;2;2.65;2.26;2;1.50;4.0;3.4;Youd et al. (1983);*;;2.15;1.75;0.05;7.3;;;;;;;
90;1981 WestMorland ML=5.6;River Park C;No;A;17.0;11.0;14.0;4.3;1.0;1.0;0.4;100;3;115;3;1595;121.5835618;783.8;67.61647802;0.911307006;0.97;0.01;0.17;0.03;5.90;0.61;0.22;0.03;0.12;0.04;0.14;0.02;13.18;4.35;SS;1;Short Rod;0.86;99.00;1;0.68;1.13;4;12.40;4.86;1.643152143;1.61;19.9;7.8;Youd et al. (1983);*;;1.40;1.75;0.09;21.5;;;;;;;
92;1981Westmorland ML=5.6;McKim Ranch A;No;A;13.0;5.0;9.0;2.7;1.3;5.0;0.3;110;3;120;3;1030;161.1769214;780.4;80.71157538;0.969328307;0.93;0.01;0.09;0.01;5.90;0.61;0.07;0.01;0.04;0.01;0.11;0.00;19.75;3.50;NA;1;Short Rod;0.79;99.00;1;0.68;1.13;11;5.40;2.58;1.646727647;1.47;7.9;3.8;Bennett et al. (1984);*;;1.40;1.75;0.03;10.0;;;;;;;
93;1983 Nihonkai-Chubu M=7.1;Arayamotomachi;No;B;18.0;3.3;10.7;3.3;2.5;3.3;0.3;100;3;115;3;1177.001312;284.0439371;716.3713911;132.4440069;0.987460808;0.9348549;0.05;0.15;0.05;7.10;0.11;0.15;0.05;0.13;0.04;0.15;0.05;5.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.73;1.22;5;4.40;2.68;1.718744377;1.79;7.9;4.8;Yasuda and Tohno (1988);520;;1.44;1.14;0.09;8.4;;;;;;;
94;1983 Nihonkai-Chubu M=7.1;Arayamotomachi Coarse Sand;No;B;34.4;26.2;30.3;9.3;1.4;3.3;0.3;100;3;120;3;3576.115486;183.4017969;1887.139108;114.2464611;0.932124743;0.69768621;0.12;0.15;0.05;7.10;0.11;0.13;0.04;0.11;0.04;0.42;0.05;0.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;3;13.10;3.34;1.058957303;1.29;16.9;4.3;Yasuda and Tohno (1988);520;;1.04;1.14;0.11;17.5;;;;;;;
96;1983 Nihonkai-Chubu M=7.7;Akita Station;No;B;13.1;6.6;9.8;3.0;1.1;5.7;3.0;120;3;120;3;1181.102362;132.9296974;925.1968504;198.6451502;0.330030443;0.999064073;0.05;0.20;0.01;7.70;0.15;0.17;0.04;0.18;0.05;-;-;2.67;1.53;NA;1;Short Rod;0.85;99.00;1;0.73;1.22;5;10.30;1.80;1.512388389;1.56;16.0;2.8;Iai. Et. Al. (1989);875;;1.32;0.94;0.14;16.6;;;;;;;
101;1983 Nihonkai-Chubu M=7.7;Hakodate;No;A;26.2;8.2;17.2;5.3;3.0;5.2;3.0;120;3;120;3;2066.929134;363.0178182;1319.685039;258.0513908;0.683788327;0.917054338;0.07;0.05;0.00;7.70;0.15;0.05;0.01;0.05;0.01;-;-;66.00;45.25;NA;1;Short Rod;0.93;99.00;1;0.73;1.22;6;3.65;1.47;1.266325232;1.43;5.2;2.1;Iai. et. al. (1989);565;;1.17;0.94;0.04;8.6;;;;;;;
109;1983 Nihonkai-Chubu M=7.7;Ohama No. Rvt. (1);No;B;24.8;11.6;18.2;5.5;2.2;4.8;3.0;120;3;125;3;2251.073064;278.4909632;1412.313768;224.5410467;0.592624818;0.972801055;0.08;0.17;0.03;7.70;0.15;0.18;0.04;0.19;0.05;-;-;3.00;1.00;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;3;17.15;2.08;1.224094117;1.40;24.0;2.9;Iai. Et. Al. (1989);700;;1.15;0.94;0.16;24.6;;;;;;;
111;1987 Elmore Ranch Mw=6.2;Radio Tower B1;No;B;18.0;9.8;13.9;4.3;1.4;6.6;0.4;100;3;115;3;1505.085302;160.0609478;1044.455381;79.52043299;0.95024344;0.97;0.03;0.09;0.01;6.20;0.47;0.08;0.01;0.05;0.02;0.07;0.04;43.50;28.99;NA;1;Short Rod;0.86;99.00;1;0.68;1.13;2;4.45;3.38;1.423427859;1.39;6.2;4.7;Bennett et al. (1984);*;;1.27;1.56;0.04;9.6;;;;;;;
112;1987 Elmore Ranch Mw=6.2;Wildlife B;No;A;22.0;9.0;15.5;4.7;2.2;3.0;0.4;100;3;120;3;1800;262.9377303;1020;131.4629819;0.978730667;0.75;0.04;0.13;0.02;6.20;0.47;0.11;0.02;0.07;0.02;0.11;0.04;26.20;7.60;NA;1;Short Rod;0.88;99.00;1;0.68;1.13;7;7.85;3.48;1.440390742;1.44;11.3;5.0;Bennett et al. (1984);*;;1.28;1.56;0.06;14.1;;;;;;;
118;1987 Superstition Hills Mw=6.6;Radio Tower B1;No;B;18.0;9.8;13.9;4.3;1.4;6.6;0.4;100;3;115;3;1505.085302;160.0609478;1044.455381;79.52043299;0.95024344;0.94;0.03;0.20;0.03;6.54;0.31;0.18;0.03;0.12;0.03;0.07;0.04;43.50;28.99;NA;1;Short Rod;0.86;99.00;1;0.68;1.13;2;4.45;3.38;1.423427859;1.39;6.2;4.7;Bennett et al. (1984);*;;1.27;1.37;0.10;9.6;;;;;;;
113;1987 Superstition Hills Mw=6.7;Heber Road A1;No;A;16.4;5.9;11.2;3.4;1.7;5.9;0.3;100;3;125;3;1246.71916;220.1311608;919.160105;112.6319994;0.985560347;0.96;0.02;0.16;0.02;6.54;0.31;0.13;0.02;0.09;0.03;0.11;0.01;13.00;3.92;NA;1;Short Rod;0.82;99.00;1;0.68;1.13;5;32.85;2.61;1.517346699;1.42;46.5;3.7;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.32;1.37;0.07;48.7;;;;;;;
114;1987 Superstition Hills Mw=6.7;Heber Road A2;No;A;15.1;6.0;10.6;3.2;1.5;5.9;0.3;100;3;110;3;1103.018373;167.5640189;812.3097113;76.92156121;0.961092484;0.95;0.02;0.15;0.02;6.54;0.31;0.13;0.02;0.09;0.02;0.12;0.01;20.86;5.01;NA;1;Short Rod;0.81;99.00;1;0.68;1.13;9;2.35;1.48;1.614059665;1.49;3.5;2.2;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.38;1.37;0.07;5.5;;;;;;;
115;1987 Superstition Hills Mw=6.7;Heber Road A3;No;A;16.1;5.9;11.0;3.4;1.7;5.9;0.3;100;3;120;3;1200.787402;204.8391806;883.4645669;101.2005719;0.980760222;0.95;0.03;0.13;0.02;6.54;0.31;0.11;0.02;0.08;0.02;0.09;0.00;25.25;5.19;NA;1;Short Rod;0.82;99.00;1;0.68;1.13;6;12.95;4.17;1.547696638;1.44;18.6;6.0;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.34;1.37;0.06;21.7;;;;;;;
116;1987 Superstition Hills Mw=6.7;Kornbloom B;No;A;17.5;9.0;13.3;4.0;1.4;9.0;0.4;100;3;120;3;1410;172.7442112;1144.8;88.14957799;0.96272184;0.94;0.03;0.17;0.03;6.54;0.31;0.13;0.02;0.09;0.03;0.04;0.01;83.00;9.65;NA;1;Short Rod;0.85;99.00;1;0.68;1.13;14;5.40;3.12;1.359613903;1.31;7.1;4.1;Bennett et al. (1984);*;;1.23;1.37;0.08;10.6;;;;;;;
117;1987 Superstition Hills Mw=6.7;McKim Ranch A;No;B;13.0;5.0;9.0;2.7;1.3;5.0;0.3;110;3;120;3;1030;161.1769214;780.4;80.71157538;0.969328307;0.95;0.03;0.16;0.05;6.54;0.31;0.13;0.04;0.09;0.03;0.11;0.00;19.75;3.50;NA;1;Short Rod;0.79;99.00;1;0.68;1.13;11;5.40;2.58;1.646727647;1.47;7.9;3.8;Bennett et al. (1984;*;;1.40;1.37;0.07;10.0;;;;;;;
119;1987 Superstition Hills Mw=6.7;Radio Tower B2;No;B;9.8;6.6;8.2;2.5;0.5;6.6;0.3;100;3;120;3;852.7664042;67.40665852;750.5352231;38.95092313;0.876546336;0.99;0.02;0.18;0.03;6.54;0.31;0.13;0.02;0.09;0.03;0.10;0.05;18.00;2.00;NA;1;Short Rod;0.77;99.00;1;0.68;1.13;1;11.25;1.36;1.679170778;1.47;16.6;2.0;Bennett et al.(1984);*;;1.42;1.37;0.07;18.7;;;;;;;
120;1987 Superstition Hills Mw=6.7;River Park A;No;B;5.9;1.0;3.5;1.1;0.8;1.0;0.3;100;3;110;3;369.8031496;90.33458577;216.7511811;42.71767891;0.911135468;0.99;0.01;0.19;0.03;6.54;0.31;0.21;0.04;0.15;0.04;0.01;0.05;91.00;2.00;SS;1;Short Rod;0.66;99.00;1;0.68;1.13;2;2.65;2.26;2;1.50;4.0;3.4;Youd et al. (1983);*;;2.15;1.37;0.07;7.3;;;;;;;
121;1987 Superstition Hills Mw=6.7;River Park C;No;A;17.0;11.0;14.0;4.3;1.0;1.0;0.4;100;3;115;3;1595;121.5835618;783.8;67.61647802;0.911307006;0.93;0.03;0.19;0.03;6.54;0.31;0.23;0.04;0.16;0.04;0.14;0.02;13.18;4.35;SS;1;Short Rod;0.86;99.00;1;0.68;1.13;4;12.40;4.86;1.643152143;1.61;19.9;7.8;Youd et al. (1983);*;;1.40;1.37;0.12;21.5;;;;;;;
123;1989 Loma Prieta Mw=7;Alameda BF Dike;No;B;23.0;19.7;21.3;6.5;0.5;9.8;0.3;120;3;125;3;2616.469816;82.05293405;1899.934383;59.38708408;0.897296745;0.986764335;0.09;0.24;0.04;6.93;0.13;0.21;0.04;0.17;0.04;0.28;0.05;7.00;2.00;SWL;1.3;Short Rod;0.94;0.00;1;0.55;0.92;2;37.10;1.69;1.055385459;1.18;43.8;2.0;Mitchell et al. (1994);815;;1.04;1.20;0.17;45.0;;;;;;;
141;1989 Loma Prieta Mw=7;General Fish;No;B;8.3;5.0;6.7;2.0;0.6;5.5;0.1;110;3;125;3;748.9946569;70.79179609;676.2168841;38.58280586;0.967841387;0.992931718;0.01;0.25;0.08;6.93;0.13;0.18;0.05;0.15;0.05;0.55;0.05;5.00;2.00;NA;1;Short Rod;0.74;100.00;1;0.60;1.00;5;11.50;2.28;1.769038978;1.32;15.1;3.0;Boulanger et al (1995,1997);690;;1.47;1.20;0.10;15.7;;;;;;;
125;1989 Loma Prieta Mw=7;Hall Avenue;No;A;18.9;11.5;15.2;4.6;1.2;11.5;0.3;100;3;115;3;1572.752625;146.1093063;1342.437664;75.49511483;0.942978255;0.72;0.01;0.14;0.02;6.93;0.13;0.08;0.01;0.06;0.01;0.09;0.05;30.00;2.00;SWL;1.1;Short Rod;0.88;0.00;1;0.55;0.92;5;4.60;3.24;1.255548065;1.11;5.1;3.6;Mitchell et al. (1994);*;;1.17;1.20;0.05;8.0;;;;;;;
145;1989 Loma Prieta Mw=7;MBARI N0.4-B4B5EB2EB3;No;B;25.3;7.9;16.6;5.1;2.9;6.4;1.6;120;3;125;3;2038.959974;364.1348165;1405.337927;206.5274619;0.881387964;0.975154326;0.01;0.25;0.08;6.93;0.13;0.23;0.07;0.19;0.06;0.55;0.15;5.00;2.00;NA;1;Short Rod;0.89;50.00;1;0.60;1.00;7;23.60;5.48;1.227128447;1.10;25.8;6.0;Boulanger et al (1997);710;;1.15;1.20;0.17;26.5;;;;;;;
126;1989 Loma Prieta Mw=7;MBARI NO:3 EB-1;No;B;9.8;6.6;8.2;2.5;0.5;6.6;0.3;110;3;125;3;926.8372703;71.44092449;824.4750656;42.25668541;0.890199633;0.99;0.01;0.24;0.04;6.93;0.13;0.17;0.03;0.14;0.03;0.60;0.05;1.00;2.00;NA;1;Short Rod;0.77;0.00;1;0.60;1.00;1;18.45;1.61;1.602107466;1.24;22.9;2.0;Boulanger et al (1997);*;;1.37;1.20;0.11;23.5;;;;;;;
127;1989 Loma Prieta Mw=7;MBARI NO:3 EB-5;No;A;21.0;5.9;13.5;4.1;2.5;5.9;0.3;110;3;125;3;1592.847769;315.7572607;1121.981627;160.6913656;0.990737012;0.99;0.01;0.27;0.04;6.93;0.13;0.25;0.04;0.20;0.04;0.60;0.05;1.00;2.00;NA;1;Short Rod;0.86;0.00;1;0.60;1.00;4;15.15;2.81;1.373369931;1.17;17.8;3.3;Boulanger et al. (1997);*;;1.24;1.20;0.17;18.4;;;;;;;
128;1989 Loma Prieta Mw=7;Miller Farm CMF10;No;B;32.8;23.0;27.9;8.5;1.6;9.8;0.4;110;3;125;3;3338.254593;214.2075545;2212.270341;121.2729498;0.952570994;0.88;0.02;0.41;0.06;6.93;0.13;0.35;0.05;0.29;0.05;0.13;0.03;20.00;2.00;SS;1;Short Rod;0.99;101.60;1;0.68;1.13;2;18.30;3.19;0.978050566;1.10;20.1;3.5;Bennett and Tinsley (1995);*;;0.99;1.20;0.30;22.5;;;;;;;
147;1990 Luzon Mw=7.6;Cereenan St. B-12;No;B;24.6;7.9;16.2;5.0;2.8;7.5;0.3;110;3;125;3;1916.830709;350.3248254;1374.311024;178.5241942;0.991074224;0.992877629;0.07;0.25;0.08;7.70;0.15;0.23;0.07;0.24;0.08;0.20;0.05;19.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.39;0.65;4;34.80;7.01;1.240903165;0.74;25.8;5.2;Wakamatsu (1992);800;;1.16;0.94;0.21;28.3;;;;;;;
151;1993 Kushiro-Oki Mw=8;Kushiro Port Site D;No;B;45.9;24.6;35.3;10.8;3.6;5.2;0.3;120;3;125;3;4382.38189;453.5922838;2509.153543;241.1627369;0.979830738;0.877229337;0.13;0.40;0.06;7.60;0.14;0.40;0.09;0.41;0.11;0.34;0.05;0.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;7;26.70;3.13;0.918368097;1.12;29.8;3.5;Iai et al. (1994);715;;0.94;0.97;0.43;30.5;;;;;;;
156;1995 Hyogoken-Nambu ML=7.2;Ashiyama A (Marine Sand);No;B;29.5;22.6;26.1;8.0;1.1;11.5;0.3;110;3;125;3;3088.090551;154.0394087;2177.066929;92.05702196;0.942073167;0.860756304;0.10;0.40;0.08;6.90;0.15;0.32;0.07;0.26;0.07;0.19;0.05;2.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;3;25.50;5.84;0.985926448;1.20;30.6;7.0;Shibata et al. (1996);630;;0.99;1.21;0.26;31.3;;;;;;;
155;1995 Hyogoken-Nambu ML=7.2;Ashiyama A (Mountain Sand 1);No;B;22.6;11.5;17.1;5.2;1.9;11.5;0.3;110;3;125;3;1960.301837;235.5702994;1612.270341;123.3440105;0.979107129;0.938808139;0.07;0.40;0.08;6.90;0.15;0.30;0.07;0.24;0.06;0.13;0.05;18.00;2.00;NA;1;Short Rod;0.93;99.00;1;0.73;1.22;3;16.60;5.26;1.145675101;1.29;21.5;6.8;Shibata et al. (1996);630;;1.10;1.21;0.22;23.7;;;;;;;
159;1995 Hyogoken-Nambu ML=7.2;Kobe No 1;No;B;23.0;16.4;19.7;6.0;1.1;7.7;0.3;120;3;135;3;2541.830709;153.7620942;1794.586614;91.27758719;0.960704653;0.991740171;0.08;0.40;0.08;6.90;0.15;0.37;0.08;0.30;0.07;0.00;0.00;3.50;4.95;NA;1;Short Rod;0.95;99.00;1;0.73;1.22;2;42.35;2.55;1.085920909;1.26;53.2;3.2;Kobe City Office (1999);850;;1.06;1.21;0.28;54.1;;;;;;;
168;1995 Hyogoken-Nambu ML=7.2;Kobe No 10;No;B;29.5;19.7;24.6;7.5;1.6;14.6;0.3;120;3;125;3;3002.624672;211.8279006;2380.262467;116.8935763;0.963331249;0.924590827;0.10;0.60;0.12;6.90;0.15;0.45;0.10;0.37;0.09;0.00;0.00;8.75;2.50;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;4;23.10;3.53;0.942905096;1.13;26.2;4.0;Kobe City Office (1999);700;;0.96;1.21;0.39;27.4;;;;;;;
170;1995 Hyogoken-Nambu ML=7.2;Kobe No 12;No;B;20.7;14.1;17.4;5.3;1.1;10.5;0.3;100;3;125;3;1911.089239;141.9958311;1481.167979;78.94243436;0.953985188;0.944788766;0.07;0.50;0.10;6.90;0.15;0.40;0.09;0.32;0.08;0.00;0.00;14.00;14.00;NA;1;Short Rod;0.92;99.00;1;0.73;1.22;3;19.60;1.27;1.195303662;1.34;26.2;1.7;Kobe City Office (1999);650;;1.13;1.21;0.29;28.1;;;;;;;
172;1995 Hyogoken-Nambu ML=7.2;Kobe No 14;No;B;17.4;14.1;15.7;4.8;0.5;10.2;0.3;115;3;125;3;1866.7979;76.75790539;1518.766404;51.28116428;0.890047385;0.900250662;0.07;0.50;0.10;6.90;0.15;0.36;0.08;0.29;0.07;0.00;0.00;18.50;16.26;NA;1;Short Rod;0.91;99.00;1;0.73;1.22;2;16.00;1.75;1.180415535;1.31;21.0;2.3;Kobe City Office (1999);560;;1.12;1.21;0.27;23.3;;;;;;;
174;1995 Hyogoken-Nambu ML=7.2;Kobe No 16;No;B;16.4;13.1;14.8;4.5;0.5;8.0;0.3;110;3;125;3;1724.901575;75.37040182;1305.216535;48.60575316;0.891042628;0.948834855;0.06;0.60;0.12;6.90;0.15;0.49;0.10;0.40;0.10;0.00;0.00;5.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;2;17.55;1.21;1.273324583;1.40;24.6;1.7;Kobe City Office (1999);630;;1.18;1.21;0.34;25.2;;;;;;;
176;1995 Hyogoken-Nambu ML=7.2;Kobe No 18;No;B;39.4;29.5;34.4;10.5;1.6;25.1;0.3;125;3;135;3;4399.606299;235.6020249;3816.141732;144.5228799;0.962803856;0.940563754;0.13;0.70;0.14;6.90;0.15;0.49;0.12;0.40;0.11;0.00;0.00;0.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;4;40.50;4.19;0.744677375;0.91;36.7;3.8;Kobe City Office (1999);825;;0.82;1.21;0.50;37.4;;;;;;;
177;1995 Hyogoken-Nambu ML=7.2;Kobe No 19;No;B;26.2;23.0;24.6;7.5;0.5;20.0;0.3;120;3;125;3;2975.721785;92.02547179;2689.107612;72.54535979;0.914980181;0.952636153;0.10;0.60;0.12;6.90;0.15;0.41;0.09;0.33;0.08;0.00;0.00;10.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;2;19.50;0.94;0.887107633;1.07;20.8;1.0;Kobe City Office (1999);750;;0.92;1.21;0.37;22.0;;;;;;;
160;1995 Hyogoken-Nambu ML=7.2;Kobe No 2;No;B;39.4;16.4;27.9;8.5;3.8;9.5;0.3;120;3;135;3;3622.53937;520.4714016;2474.035433;285.0990136;0.993269978;0.980068235;0.11;0.40;0.08;6.90;0.15;0.37;0.09;0.30;0.08;0.00;0.00;14.83;11.50;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;7;35.20;8.09;0.924863094;1.13;39.6;9.1;Kobe City Office (1999);850;;0.95;1.21;0.32;41.9;;;;;;;
178;1995 Hyogoken-Nambu ML=7.2;Kobe No 20;No;B;26.2;13.1;19.7;6.0;2.2;6.6;0.3;110;3;135;3;2493.43832;298.6325974;1674.540682;165.1620364;0.98820382;0.994982309;0.08;0.55;0.11;6.90;0.15;0.53;0.12;0.43;0.11;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.95;99.00;1;0.73;1.22;5;50.35;3.46;1.124171461;1.30;65.5;4.5;Kobe City Office (1999);900;;1.08;1.21;0.40;66.5;;;;;;;
179;1995 Hyogoken-Nambu ML=7.2;Kobe No 21;No;B;13.1;9.8;11.5;3.5;0.5;5.4;0.3;100;3;125;3;1300.032808;72.96152537;921.2926509;43.5073092;0.898072025;0.990819928;0.05;0.60;0.12;6.90;0.15;0.55;0.11;0.44;0.11;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;2;23.00;1.75;1.515589556;1.60;36.8;2.8;Kobe City Office (1999);760;;1.32;1.21;0.34;37.5;;;;;;;
180;1995 Hyogoken-Nambu ML=7.2;Kobe No 22;No;B;26.2;13.1;19.7;6.0;2.2;7.9;0.3;120;3;125;3;2421.259843;276.7040504;1684.251969;144.4203027;0.981494256;0.961721608;0.08;0.60;0.12;6.90;0.15;0.54;0.12;0.44;0.11;0.00;0.00;6.00;5.48;NA;1;Short Rod;0.95;99.00;1;0.73;1.22;5;30.00;9.02;1.120925826;1.30;38.9;11.7;Kobe City Office (1999);720;;1.08;1.21;0.41;39.8;;;;;;;
181;1995 Hyogoken-Nambu ML=7.2;Kobe No 23;No;B;19.7;13.1;16.4;5.0;1.1;9.8;0.3;120;3;125;3;2001.312336;141.2408298;1591.863517;79.01078327;0.949157535;0.973574221;0.07;0.60;0.12;6.90;0.15;0.48;0.10;0.39;0.09;0.00;0.00;10.00;2.00;NA;1;Short Rod;0.92;99.00;1;0.73;1.22;2;18.00;0.77;1.152995182;1.29;23.3;1.0;Kobe City Office (1999);720;;1.10;1.21;0.36;24.5;;;;;;;
183;1995 Hyogoken-Nambu ML=7.2;Kobe No 25;No;B;13.1;9.8;11.5;3.5;0.5;7.1;0.3;110;3;125;3;1329.560367;72.91396809;1053.182415;44.70199674;0.88974234;0.989274162;0.05;0.70;0.14;6.90;0.15;0.57;0.12;0.46;0.11;0.00;0.00;2.50;3.54;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;2;26.05;0.94;1.417518083;1.50;39.0;1.4;Kobe City Office (1999);750;;1.26;1.21;0.37;39.7;;;;;;;
184;1995 Hyogoken-Nambu ML=7.2;Kobe No 26;No;B;13.1;9.8;11.5;3.5;0.5;3.0;0.3;100;3;125;3;1361.548556;73.90149752;829.2650919;45.06587517;0.897435365;0.990819928;0.05;0.60;0.12;6.90;0.15;0.63;0.13;0.51;0.12;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;2;24.45;3.62;1.597473694;1.69;41.2;6.1;Kobe City Office (1999);760;;1.37;1.21;0.38;42.0;;;;;;;
185;1995 Hyogoken-Nambu ML=7.2;Kobe No 27;No;B;9.8;6.6;8.2;2.5;0.5;3.4;0.3;100;3;125;3;939.1404199;70.98289311;642.2900262;40.10078409;0.901464207;0.998030147;0.04;0.60;0.12;6.90;0.15;0.57;0.12;0.46;0.11;0.00;0.00;10.00;2.00;NA;1;Short Rod;0.82;99.00;1;0.73;1.22;2;27.70;4.12;1.815159605;1.82;50.4;7.5;Kobe City Office (1999);850;;1.49;1.21;0.31;52.1;;;;;;;
161;1995 Hyogoken-Nambu ML=7.2;Kobe No 3;No;B;24.6;11.5;18.0;5.5;2.2;8.2;0.3;100;3;135;3;2148.950131;297.9517932;1534.776903;163.5849048;0.990525619;0.993184895;0.08;0.40;0.08;6.90;0.15;0.36;0.08;0.29;0.07;0.00;0.00;3.25;2.22;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;4;39.45;5.53;1.174242459;1.34;52.8;7.4;Kobe City Office (1999);850;;1.11;1.21;0.27;53.7;;;;;;;
188;1995 Hyogoken-Nambu ML=7.2;Kobe No 30;No;B;32.8;23.0;27.9;8.5;1.6;4.9;0.3;100;3;125;3;3362.860892;216.9507519;1929.790026;125.0441421;0.95610444;0.89954946;0.11;0.60;0.12;6.90;0.15;0.61;0.14;0.49;0.13;0.00;0.00;10.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;4;30.60;4.55;1.04718974;1.27;39.0;5.8;Kobe City Office (1999);700;;1.03;1.21;0.49;40.5;;;;;;;
189;1995 Hyogoken-Nambu ML=7.2;Kobe No 31;No;B;16.4;9.8;13.1;4.0;1.1;3.9;0.3;100;3;125;3;1541.994751;140.152047;968.7664042;75.57571139;0.960478365;0.988447718;0.06;0.60;0.12;6.90;0.15;0.61;0.13;0.50;0.12;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.73;1.22;3;35.75;3.70;1.477987879;1.59;57.0;5.9;Kobe City Office (1999);760;;1.30;1.21;0.39;57.9;;;;;;;
190;1995 Hyogoken-Nambu ML=7.2;Kobe No 32;No;B;16.4;6.6;11.5;3.5;1.6;4.6;0.3;100;3;125;3;1320.538058;206.6878566;890.6167979;106.2463118;0.983152062;0.983682087;0.05;0.50;0.10;6.90;0.15;0.47;0.10;0.38;0.09;0.00;0.00;6.25;4.79;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;4;18.75;2.21;1.541469607;1.63;30.5;3.6;Kobe City Office (1999);700;;1.34;1.21;0.29;31.4;;;;;;;
